project_index,bldg_proj_type,mat_type,mui,eci
106,New Construction,Cold formed steel framing,4.4939748339926,9.658556761621995
106,New Construction,Concrete - other,1.8049735244321137,0.27877715496659505
106,New Construction,Cross laminated timber CLT,41.88278314802717,15.538512547918085
106,New Construction,Decking,5.6126832687698975,13.302059346984663
106,New Construction,Doors and frames - other,0.9170135895475218,3.762981102493623
106,New Construction,Fasteners,0.020961783316165387,0.11683412177572039
106,New Construction,Glass mat gypsum board,13.526701234750176,6.3981296840368325
106,New Construction,Glazing - other,2.364508961358749,3.8305045174011725
106,New Construction,Glue laminated timber GLT,61.5698919958003,22.84242993044191
106,New Construction,Gypsum board,41.01439814057986,9.146285706698018
106,New Construction,Hardwood,20.374442782964223,15.213887857133136
106,New Construction,Hollow structural sections HSS,2.8452382414715127,6.970833691605208
106,New Construction,Hot-rolled sections,21.62466458253189,20.905503371728056
106,New Construction,Insulated glass unit IGU,6.0159726721190765,7.640285293591231
106,New Construction,Laminated veneer lumber LVL,0.2371670035523626,0.08775179131437416
106,New Construction,Mineral wool low density,0.8575269165868,1.2948656440460677
106,New Construction,Modified bitumen,8.101878675519064,5.244776707196869
106,New Construction,Paint,0.5407652211516996,1.2979352226403718
106,New Construction,Plate,9.867932287605102,25.459265302021166
106,New Construction,Polyisocyanurate PIR,3.829856372390887,10.034223695664126
106,New Construction,Ready mix NW 3000,2.9116829543070923,0.37310251671401023
106,New Construction,Ready mix NW 4000,1351.0434811759856,203.94628031325524
106,New Construction,Rebar and reinforcement,45.73691057829215,87.35749920453799
106,New Construction,Roofing and waterproofing - other,0.5597181819935922,0.27034388190290504
106,New Construction,Softwood framing,9.379240194155615,1.5757123526181438
106,New Construction,Softwood plywood,10.579112964742418,2.7928858226919986
106,New Construction,Spray applied cementitious,14.699325565600788,16.757231144784896
106,New Construction,Steel - other,0.190846754743861,0.49238462723916143
106,New Construction,Steel door,0.6315328116079999,1.344896120828197
106,New Construction,Steel door frame,0.027993165456410257,0.0769812050051282
106,New Construction,Steel sheet,1.1344869847938974,2.643354674569782
106,New Construction,Suspension assembly,0.26675992889017797,0.6482266272031324
106,New Construction,Synthetic composites,2.521481305535552,3.519329600050962
106,New Construction,Wood and composites - other,0.813993305528241,0.19210242010466488
106,New Construction,Wood door frame,0.14559280000000002,0.6406083200000001
106,New Construction,Wood or composite door,0.8875384730584616,0.55451334774528
106,New Construction,Zinc sheet,0.8041061503215795,4.55124081082014
109,New Construction,Acoustic ceiling tile fiber,0.1890916608786885,0.3193688312767869
109,New Construction,Acoustic ceiling tile steel,0.0563524964,0.161731664668
109,New Construction,Adhesives and sealants,0.02774723124262295,0.07074140386545165
109,New Construction,Air and vapor barriers,0.44679731729508193,0.3555888022682787
109,New Construction,Aluminum - other,0.15868616398360655,0.8918162415878689
109,New Construction,Aluminum composite panel ACM,0.060777149935081966,0.48317834198390164
109,New Construction,Aluminum door,0.17867228537704918,0.7003953586780328
109,New Construction,Aluminum door frame,0.002104726367213115,0.018416355713114754
109,New Construction,Aluminum sheet,0.06442975736508197,0.3631497605823344
109,New Construction,Aluminum storefront or curtain wall,0.0016460709540983606,0.016460709540983606
